n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
820,0.8200000000000001,25.13274122872525,6.902922677909373e-12,2.7465856649260224e-13,-10.053096491489448,2.1103119252074976e-12,2.0991660897659e-13,5.026548245746274,2.604139126560767e-12,5.180770181139409e-13,17.30391983897262,9.23751759529523e-07,5.338396256104528e-08,17.30391983897262,9.237517559768094e-07,5.338396235573261e-08,1.7611163335889538e-16,0.0,1.7419169285135556e-13,1.0420894260560342e-16,1.3811735531896797e-16,6.832876079731357e-17,1.4169878623397214e-09
840,0.84,25.13274122872542,7.069900220812997e-12,2.813023918272148e-13,-10.053096491489487,2.149391775674303e-12,2.1380395358726759e-13,5.026548245746349,2.6787461138155777e-12,5.329196066274371e-13,17.30391985148693,9.36266069118119e-07,5.410716923173697e-08,17.30391985148694,9.362660726708327e-07,5.4107169437049625e-08,5.340047707351055e-16,0.0,1.7112135109858136e-13,1.468009293075061e-16,1.4292861344479653e-16,7.518470129211031e-17,1.5002394134486781e-09
860,0.86,25.132741228725592,7.243983191074221e-12,2.882289331335131e-13,-10.053096491489525,2.1866952693017083e-12,2.1751460071564164e-13,5.026548245746421,2.750688565811288e-12,5.472321026940228e-13,17.30391986332636,9.481054981108628e-07,5.4791374298274206e-08,17.30391986332636,9.481054945581491e-07,5.479137409296153e-08,1.7992685225965489e-16,0.0,4.655004020764636e-13,1.5110960811263875e-16,1.1602633260025547e-16,8.148448697230038e-17,1.5895836195257042e-09
880,0.88,25.132741228725752,7.403855306620244e-12,2.945900424964401e-13,-10.05309649148956,2.2222224060897133e-12,2.2104855036171219e-13,5.026548245746499,2.828848266744899e-12,5.627814811367332e-13,17.303919874522546,9.593016834230639e-07,5.543840606992407e-08,17.30391987452255,9.593016834230639e-07,5.543840606992406e-08,3.6377460947932976e-16,0.0,2.31335954426011e-13,1.3115910786300382e-16,1.529734393137926e-16,8.714674004032885e-17,1.68549712290308e-09
900,0.9,25.132741228725923,7.574385563202668e-12,3.013752258168955e-13,-10.0530964914896,2.261302256556519e-12,2.2493589497238978e-13,5.026548245746577,2.90700796767851e-12,5.783308595794436e-13,17.303919885106435,9.698855727435785e-07,5.605005302529698e-08,17.303919885106435,9.698855691908648e-07,5.6050052819984306e-08,3.677657078875096e-16,0.0,4.655004020764636e-13,1.2330774139193002e-16,1.47437121281164e-16,9.219517718625411e-17,1.7883337370423943e-09
920,0.92,25.13274122872609,7.741363106106292e-12,3.080190511515081e-13,-10.053096491489637,2.298605750183924e-12,2.2864654210076384e-13,5.026548245746653,2.9833913117727207e-12,5.935268430575468e-13,17.30391989510808,9.798872184774154e-07,5.662805190421216e-08,17.303919895108084,9.798872184774154e-07,5.6628051904212153e-08,3.7182685167460497e-16,0.0,1.214175959108492e-13,1.2029838382465826e-16,1.4130061485195964e-16,9.669872012954536e-17,1.8987964858729184e-09
940,0.9400000000000001,25.132741228726257,7.908340649009915e-12,3.1466287648612073e-13,-10.053096491489676,2.3376856006507296e-12,2.3253388671144145e-13,5.026548245746732,3.062439191126032e-12,6.092529189825608e-13,17.303919904556565,9.893357031387495e-07,5.717408339613177e-08,17.303919904556565,9.893356995860358e-07,5.7174083190819096e-08,3.7595792979280985e-16,0.0,4.655004020764636e-13,1.5006201939415803e-16,1.3901391287532562e-16,1.0069926413700611e-16,2.0174790244955894e-09
960,0.96,25.132741228726434,8.08597633294994e-12,3.217307757782618e-13,-10.053096491489717,2.3785418079569354e-12,2.365979288044226e-13,5.026548245746811,3.141487070479343e-12,6.249789949075746e-13,17.30391991347993,9.982590682966475e-07,5.768976803390759e-08,17.30391991347993,9.982590647439338e-07,5.768976782859492e-08,3.801588658730938e-16,0.0,2.278173318171838e-13,1.4460087874520265e-16,1.4613495148403005e-16,1.0416008122415263e-16,2.144892631608911e-09
980,0.98,25.132741228726594,8.245848448495963e-12,3.2809188514118876e-13,-10.053096491489747,2.4087398742267396e-12,2.3960178600358254e-13,5.026548245746889,3.218758592993254e-12,6.403516758679815e-13,17.30391992190507,1.0066842079936578e-06,5.817666003440115e-08,17.303919921905074,1.0066842079936578e-06,5.817666003440114e-08,5.766444239118751e-16,0.0,2.31335954426011e-13,1.289156822559857e-16,1.4096925998666271e-16,1.0695646457192438e-16,2.2818680318571547e-09
1000,1.0,25.132741228726758,8.409273277720786e-12,3.3459435248995857e-13,-10.053096491489782,2.4442670110147446e-12,2.4313573564965304e-13,5.0265482457469615,3.291589223408664e-12,6.548408694168707e-13,17.303919929857773,1.0146369113783749e-06,5.863624976223567e-08,17.30391992985778,1.0146369149310885e-06,5.8636249967548325e-08,5.831552493009174e-16,0.0,4.549693413077341e-13,1.4434625387298007e-16,1.3656928772388055e-16,1.0890993424995549e-16,2.4291657086973865e-09
1020,1.02,25.13274122872693,8.57980353430321e-12,3.41379535810414e-13,-10.05309649148982,2.48157050464215e-12,2.4684638277802714e-13,5.026548245747042,3.3724134596013755e-12,6.709203403064917e-13,17.303919937362654,1.0221417916511655e-06,5.906995962354282e-08,17.303919937362657,1.0221417916511655e-06,5.906995962354281e-08,0.0,0.0,4.723906993886732e-13,1.1724840010380995e-16,1.387019969231048e-16,1.0984844504469681e-16,2.5874711898622853e-09
1040,1.04,25.132741228727085,8.736122936170432e-12,3.4759928718749814e-13,-10.053096491489848,2.509992214072554e-12,2.4967354249488354e-13,5.026548245747123,3.453237695794087e-12,6.869998111961126e-13,17.30391994444314,1.0292222789587413e-06,5.947914365533735e-08,17.303919944443145,1.0292222789587413e-06,5.947914365533734e-08,1.9883037510443328e-16,0.0,1.1718571004216928e-13,1.2645966794522037e-16,1.39666045712851e-16,1.0966595645838678e-16,2.7577931990805305e-09
1060,1.06,25.132741228727255,8.906653192752856e-12,3.543844705079536e-13,-10.053096491489882,2.5437429940211587e-12,2.5303079465865057e-13,5.0265482457472,3.530509218307998e-12,7.023724921565194e-13,17.303919951121543,1.0359006807902915e-06,5.986509101583242e-08,17.303919951121543,1.0359006772375778e-06,5.986509081051975e-08,4.022108883542844e-16,0.0,1.156679772130055e-13,1.3393924370460609e-16,1.0104839796785218e-16,1.0835836024848113e-16,2.941106786817246e-09
1080,1.08,25.132741228727422,9.07363073565648e-12,3.6102829584256616e-13,-10.053096491489919,2.581046487648564e-12,2.567414417870246e-13,5.026548245747281,3.611333454500709e-12,7.184519630461404e-13,17.303919957418998,1.042198135792205e-06,6.022902331537492e-08,17.303919957419,1.042198135792205e-06,6.022902331537491e-08,2.034155158029302e-16,0.0,4.62671908852022e-13,1.4883285667144662e-16,1.335248779167953e-16,1.0602520918705577e-16,3.138314707899277e-09
1100,1.1,25.13274122872759,9.240608278560103e-12,3.676721211771788e-13,-10.053096491489951,2.6130209107577684e-12,2.599219964684881e-13,5.026548245747361,3.6912695122737205e-12,7.343547364534578e-13,17.30391996335555,1.0481346883750575e-06,6.057209892801147e-08,17.303919963355554,1.0481346883750575e-06,6.057209892801146e-08,4.1152128652819376e-16,0.0,2.31335954426011e-13,1.2752748658978784e-16,1.5444386625485147e-16,1.0284091438304886e-16,3.350643936320382e-09
